,Name,Price,CPU,Type CPU,Storage,Type Storage,RAM,Type RAM,Graphic,Brand,Score star,Vote
159,LAPTOP LENOVO LEGION Y530-15ICH (81FV00STVN),21.990.000,Intel Core i5,8300H,1TB + 128GB,HDD + SSD,8 GB,DDR4,Nividia GTX 1050,LENOVO,0,0
160,LAPTOP DELL VOSTRO 13 5370 (7M6D51),19.590.000,Intel Core i5,8250U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,DELL,0,0
161,Laptop Asus G531GD (AL025T),20.990.000,Intel Core i5,9300H,512 GB,SSD,8 GB,DDR4,NVIDIA GeForce GTX 1050,Asus,0,0
162,LAPTOP DELL INSPIRON 5584 - N5I5384W-BẠC,16.590.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX130,DELL,0,0
163,LAPTOP ASUS FX505GE-BQ052T,21.490.000,Intel Core i5,8300H,1TB,HDD,8 GB,DDR4,NVIDIA GeForce GTX 1050Ti,ASUS,0,0
164,Laptop Dell Latitude 3400 (70188730),14.190.000,Intel Core i3,8145U,256 GB,SSD,8 GB,,,Dell,0,0
165,LAPTOP ASUS VIVOBOOK S410UN-EB210T,16.490.000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX150,ASUS,0,0
166,LAPTOP LENOVO IDEAPAD S145 15IWL 81MV00F3V,7.690.000,Intel Pentium Gold,5405U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 610,LENOVO,0,0
167,LAPTOP DELL INSPIRON 3480 (N4I5107W) ĐEN,13.590.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,DELL,0,0
168,Laptop Dell Inspiron 7591-N5I5591W,25.290.000,Core i5,9300H,256GB,SSD,8 GB,DDR4,VGA NVIDIA,Dell,0,0
169,MACBOOK PRO 13.3 2019 256GB TOUCH BAR GRAY (MUHP2SA/A),39.490.000,Intel Core i5,Quad‑core 8th‑gen,256 GB,SSD,8 GB,LPDDR3,Intel Iris Plus Graphics 645,MACBOOK,0,0
170,LAPTOP ACER SPIN 3 SP314-51(NX.GUWSV.004),15.000.000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,ACER,0,0
171,MACBOOK PRO 13.3 2019 256GB TOUCH BAR SILVER (MUHR2SA/A),39.490.000,Intel Core i5,Quad‑core 8th‑gen,256 GB,SSD,8 GB,LPDDR3,Intel Iris Plus Graphics 645,MACBOOK,0,0
172,Laptop Dell G3 15 3590 - N5I5518W,24.990.000,Core i5,9300H,512GB,SSD,8 GB,DDR4,NVIDIA,Dell,0,0
173,Laptop Asus X509UA-EJ116T,9.990.000,Intel Core i3,7020U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 520,Asus,0,0
174,LAPTOP ACER SWIFT 5 SF514-53T-58PN (NX.H7HSV.001) XANH,22.690.000,Intel Core i5,8265U,256 GB,SSD,8 GB,DDR4,Intel HD Graphics 620,ACER,0,0
175,Laptop HP Pavilion 15-CS3015TU (8QP15PA),15.590.000,,,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics,HP,0,0
176,LAPTOP DELL INSPIRON 14 3476 (8J61P1),9.590.000,Intel Core i3,8130U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,DELL,0,0
177,Laptop HP Pavilion 15-CS3011TU (8QN96PA),17.190.000,Intel Core i5,1035G1,,,,DDR4,Intel UHD Graphics,HP,0,0
178,Laptop Acer A514-52-33AB (NX.HMHSV.001),11.690.000,Intel Core i3,10110U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,Acer,0,0
179,LAPTOP DELL INSPIRON 3480 (N4I5107W) ĐEN,13.590.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,DELL,0,0
180,LAPTOP ASUS A412FJ-EK149T BẠC,17.490.000,Intel Core i5,8265U,512 GB,SSD,8 GB,DDR4,GeForce MX230,ASUS,0,0
181,Laptop Asus A512DA-EJ406T,14.290.000,AMD Ryzen™ 5,3500U,512GB,SSD,8 GB,DDR4,AMD Radeon™ Vega 8 Graphics,Asus,0,0
182,LAPTOP HP PROBOOK 440 G6 (5YM61PA),16.990.000,Intel Core i5,8265U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,HP,0,0
183,LAPTOP DELL VOSTRO 3468 (70161069),10.990.000,Intel Core i3,7020U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,DELL,0,0
184,Laptop Asus UX434FAC-A6116T,24.490.000,Core i5,10210U,512 GB,SSD,8 GB,LPDDR3,Intel UHD Graphics 620,Asus,0,0
185,Laptop Asus UX434FLC-A6212T,26.490.000,Core i5,10210U,512 GB,SSD,8 GB,LPDDR3,NVIDIA GeForce MX250,Asus,0,0
186,LAPTOP HP 15-DA1022TU (5NK80PA),12.990.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,HP,0,0
187,Laptop MSI PS42 8M-288VN,17.990.000,Intel Core i5,8250U,256 GB,SSD,8 GB,DDR4,Intel® UHD Graphics 620,MSI,0,0
188,LAPTOP ASUS S430UA-EB097T,19.990.000,Intel Core i7,8550U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,ASUS,0,0
189,LAPTOP ASUS X407U - BV145T,12.000.000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX110,ASUS,0,0
190,Laptop HP Pavilion 15-CS3116TX (9AV24PA),16.590.000,Intel Core i5,1035G1,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics,HP,0,0
191,Laptop Asus UX534FTC-A9168T,30.990.000,Core i5,10210U,512 GB,SSD,8 GB,LPDDR3,NVIDIA GeForce GTX 1650,Asus,0,0
192,Laptop HP Pavilion 15-CS3119TX (9FN16PA),16.590.000,Intel Core i5,1035G1,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics,HP,0,0
193,Laptop HP Pavilion 15-CS3060TX (8RJ61PA),18.190.000,Intel Core i5,1035G1,512 GB,SSD,8 GB,DDR4,Intel UHD Graphics,HP,0,0
194,Laptop HP Pavilion 15-CS3063TX (8RK42PA),21.890.000,,,512 GB,SSD,8 GB,DDR4,NVIDIA GeForce MX250,HP,0,0
195,Laptop Dell Inspiron 15 5584-CXGR01,17.390.000,Core i5,8265U,1TB,HDD,8 GB,DDR4,Intel UHD Graphics 620,Dell,0,0
196,LAPTOP DELL N3567 P63F002N67S,9.590.000,Intel Core i3,7020U,1TB,HDD,4 GB,DDR4,Intel® UHD Graphics 620,DELL,0,0
197,Laptop HP Pavilion 15-CS3012TU (8QP30PA),17.190.000,Intel Core i5,1035G1,,,,DDR4,Intel UHD Graphics,HP,0,0
198,Laptop Dell Inspiron 15 5000 5593 N5I5461W,20.990.000,Core i5,1035G1,512GB PCie,SSD,8 GB,DDR4,NVIDIA GeForce MX230 2GB,Dell,0,0
