Name,Price,CPU,Type_CPU,Storage,Type_Storage,RAM,Type_RAM,Graphic,Weight,Score_star,Vote,Brand,Type_laptop
LAPTOP ASUS VIVOBOOK S530UA - BQ177T,13290000,Intel Core i3,8130U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.6 kg,0,0,ASUS,do-hoa-ky-thuat
LAPTOP DELL INSPIRON 3580 (70188451),20390000,Intel Core i7,8565U,2TB,HDD,8 GB,DDR4,AMD Radeon 520,2.19 kg,0,0,DELL,do-hoa-ky-thuat
LAPTOP ASUS FX505GE-BQ052T,21490000,Intel Core i5,8300H,1TB,HDD,8 GB,DDR4,NVIDIA GeForce GTX 1050Ti,2.2 kg,0,0,ASUS,do-hoa-ky-thuat
LAPTOP DELL INSPIRON 14 3476 70181694,17990000,Intel Core i7,8550U,1TB,HDD,8 GB,DDR4,AMD Radeon 520,1.95 kg,0,0,DELL,do-hoa-ky-thuat
LAPTOP ASUS X509FJ- EJ053T,13890000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX230,1.8 kg,0,0,ASUS,do-hoa-ky-thuat
LAPTOP ACER NITRO 5 AN515-52-51GF NH.Q3MSV.001,20999000,Intel Core i5,8300H,1TB,HDD,8 GB,DDR4,NVIDIA GeForce GTX 1050,2.45 kg,0,0,ACER,do-hoa-ky-thuat
LAPTOP ACER SPIN 3 SP314-51(NX.GUWSV.004),15199000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.7 kg,0,0,ACER,do-hoa-ky-thuat
Laptop Dell Inspiron 7591-N5I5591W,25290000,Core i5,9300H,256GB,SSD,8 GB,DDR4,VGA NVIDIA,,0,0,Dell,do-hoa-ky-thuat
Laptop Dell Inspiron 15 7591 KJ2G41,28990000,i7,9750H,256GB,SSD,8 GB,,NVIDIA GeForce GTX 1050,1.8 kg,0,0,Dell,do-hoa-ky-thuat
Laptop Dell G3 15 3590 - N5I5518W,25190000,Core i5,9300H,512GB,SSD,8 GB,DDR4,NVIDIA,,0,0,Dell,do-hoa-ky-thuat
LAPTOP ASUS X407U - BV145T,12190000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX110,1.52 kg,0,0,ASUS,do-hoa-ky-thuat
Laptop MSI PS42 8M-288VN,17990000,Intel Core i5,8250U,256 GB,SSD,8 GB,DDR4,Intel® UHD Graphics 620,1.18 kg,0,0,MSI,do-hoa-ky-thuat
Laptop HP Pavilion 15-CS3119TX (9FN16PA),16590000,Intel Core i5,1035G1,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics,"1,746 kg",0,0,HP,do-hoa-ky-thuat
LAPTOP ASUS S430UA-EB097T,19990000,Intel Core i7,8550U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.40 kg,0,0,ASUS,do-hoa-ky-thuat
Laptop HP Pavilion 15-CS3060TX (8RJ61PA),18190000,Intel Core i5,1035G1,512 GB,SSD,8 GB,DDR4,Intel UHD Graphics,"1,761 kg",0,0,HP,do-hoa-ky-thuat
Laptop HP Pavilion 15-CS3063TX (8RK42PA),21890000,,,512 GB,SSD,8 GB,DDR4,NVIDIA GeForce MX250,"1,766 kg",0,0,HP,do-hoa-ky-thuat
Laptop HP Pavilion 15-CS3116TX (9AV24PA),16590000,Intel Core i5,1035G1,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics,"1,755 kg",0,0,HP,do-hoa-ky-thuat
Macbook Pro 16.0 inch 512GB Gray (MVVJ2SA/A),59990000,Intel Core,i7,512 GB,SSD,16 GB,DDR4,,2.0 kg,0,0,Macbook,do-hoa-ky-thuat
Macbook Pro 16.0 inch 512GB Silver (MVVL2SA/A),59990000,Intel Core,i7,512 GB,SSD,16 GB,DDR4,,2.0 kg,0,0,Macbook,do-hoa-ky-thuat
Laptop Dell Inspiron 15 5000 5593 N5I5461W,20690000,Core i5,1035G1,512GB PCie,SSD,8 GB,DDR4,NVIDIA GeForce MX230 2GB,,0,0,Dell,do-hoa-ky-thuat
Macbook Pro 16.0 inch 1TB Gray (MVVK2SA/A),69990000,Intel Core,i9,1 TB,SSD,16 GB,DDR4,,2.0 kg,0,0,Macbook,do-hoa-ky-thuat
Macbook Pro 16.0 inch 1TB Silver (MVVM2SA/A),69990000,Intel Core,i9,1 TB,SSD,16 GB,DDR4,,2.0 kg,0,0,Macbook,do-hoa-ky-thuat
Laptop HP NoteBook 14S-CF1040TU (7PU14PA),12990000,Core i5,8250U,,,4 GB,DDR4-2400,Intel UHD Graphics 620,,4.6,10,HP,hoc-tap-van-phong
Laptop HP 348 G5 (7XU21PA),13990000,Intel Core i5,8265U,256 GB,SSD,4 GB,DDR4,Intel HD Graphics 620,1.48 kg,4.5,10,HP,hoc-tap-van-phong
LAPTOP ASUS X509FA-EJ203T,13590000,Core i5,8265U,512GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.9 kg,0,0,ASUS,hoc-tap-van-phong
Laptop Acer Aspire A515-53G-564C (NX.H82SV.001),12990000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX130,2.072 kg,0,0,Acer,hoc-tap-van-phong
Laptop Lenovo Ideapad 330-15IKB 81DC00ENVN,8990000,Intel Core i3,7130U,500 GB,HDD,4 GB,DDR4,Intel HD Graphics 620,1.8 kg,0,0,Lenovo,hoc-tap-van-phong
Laptop Dell Vostro 3580 (T3RMD1),13290000,Core i5,8265U,,,4GB(4Gx1) GB,DDR4,ntel HD Graphics 620,2.2 kg,0,0,Dell,hoc-tap-van-phong
Máy tính xách tay Dell Vostro 5581 (70175950),16590000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.9 kg,0,0,Máy,hoc-tap-van-phong
Laptop Dell Vostro 3580 (T3RMD2),20990000,Intel Core i7,8565U,256GB,SSD,8 GB,DDR4,AMD Radeon 520,2.21 kg,0,0,Dell,hoc-tap-van-phong
Laptop Dell Inspiron 3580 (70194513),20390000,Intel Core i7,8565U,2TB,HDD,8 GB,,AMD Radeon 520,2.19 kg,0,0,Dell,hoc-tap-van-phong
LAPTOP ASUS X505ZA-EJ505T,11990000,AMD Ryzen™ 5,2500U,1TB,HDD,4 GB,DDR4,AMD Radeon Vega 8 Graphics,1.6 kg,0,0,ASUS,hoc-tap-van-phong
Laptop Dell Vostro 3480 (70187706),11490000,Intel Core i3,8145U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.8 kg,0,0,Dell,hoc-tap-van-phong
LAPTOP HP ENVY X360 (6ZF34PA),25890000,AMD Ryzen™ 7,3700U,256 GB,SSD,8 GB,DDR4,Vega 10,1.3 kg,0,0,HP,hoc-tap-van-phong
LAPTOP DELL VOSTRO 15 3578 (NGMPF22),12090000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,2.2 kg,0,0,DELL,hoc-tap-van-phong
Laptop Asus X507UF-EJ078T,13190000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX130,1.68 kg,0,0,Asus,hoc-tap-van-phong
Laptop Asus X509FA-EJ103T,13590000,Intel Core i5,8265U,512 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.8 kg,0,0,Asus,hoc-tap-van-phong
Laptop Dell Inspiron 3481 (030CX1),10290000,Intel Core i3,7020U,,,4 GB,DDR4,Intel HD Graphics 620,1.7 kg,0,0,Dell,hoc-tap-van-phong
LAPTOP DELL INSPIRON 3480I (P89G003N80I),14790000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,AMD Radeon 520,1.9 kg,0,0,DELL,hoc-tap-van-phong
LAPTOP ASUS VIVOBOOK A412FA-EK153T,15190000,Intel Core i5,8265U,1TB,HDD,8 GB,DDR4,Intel UHD Graphics 620,1.5 kg,0,0,ASUS,hoc-tap-van-phong
Laptop Acer Aspire 3 A315-54-57PJ,12490000,Core i5,8265U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.7 kg,0,0,Acer,hoc-tap-van-phong
Laptop HP Pavilion 14 CE2034TU (6YZ17PA),11990000,Intel Core i3,8145U,1TB,,4 GB,DDR4,Intel UHD Graphics 620,,0,0,HP,hoc-tap-van-phong
LAPTOP ACER ASPIRE 3 A315-54K-36QU (NX.HEESV.007),9390000,Intel Core i3,7020U,256 GB,SSD,4 GB,DDR4,Intel HD Graphics 620,1.9 kg,0,0,ACER,hoc-tap-van-phong
Laptop Asus X507UF-EJ079T,15690000,Intel Core i7,8550U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX130,1.5 kg,0,0,Asus,hoc-tap-van-phong
LAPTOP ASUS X407U - BV147T,15690000,Intel Core i7,8550U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX110,1.52 kg,0,0,ASUS,hoc-tap-van-phong
Laptop Dell Vostro V3580I (P75F010V80I),15790000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,AMD Radeon 520,2.2 kg,0,0,Dell,hoc-tap-van-phong
LAPTOP ACER ASPIRE E5-476-50SZ,12490000,Intel Core i5,8250U,,1TB HDD + 16GB Optane,4 GB,DDR4,Intel UHD Graphics 620,2.0 kg,0,0,ACER,hoc-tap-van-phong
LAPTOP ASUS VIVOBOOK A512FA-EJ440T,16490000,Intel Core i5,8265U,512 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,1.7 kg,0,0,ASUS,hoc-tap-van-phong
LAPTOP ACER ASPIRE A514-51-525E (NX.H6VSV.002),13190000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,1.9 kg,0,0,ACER,hoc-tap-van-phong
Laptop Asus A512DA-EJ418T,16990000,AMD Ryzen™ 7,3700U,512GB,SSD,8 GB,DDR4,AMD Radeon™ Vega 10 Graphics,1.7 kg,0,0,Asus,hoc-tap-van-phong
LAPTOP ACER ASPIRE A515-53-50ZD (NX.H6DSV.001),13990000,Intel Core i5,8265U,,"HDD: 1 TB, Intel Optane: 16GB",4 GB,DDR4,Intel UHD Graphics 620,2.072 kg,0,0,ACER,hoc-tap-van-phong
LAPTOP HP 15-DA0051TU (4ME64PA),9990000,Intel Core i3,7020U,500 GB,HDD,4 GB,DDR4,Intel HD Graphics 620,1.77 kg,0,0,HP,hoc-tap-van-phong
LAPTOP ACER ASPIRE E5-576G-88EP,15990000,Intel Core i7,8550U,,"HDD: 1 TB, Intel Optane: 16GB",4 GB,DDR3L,NVIDIA GeForce MX130,2.23 kg,0,0,ACER,hoc-tap-van-phong
