battery,category,cpu_name,cpu_type,disk,graphic,id,keyboard_light,name,ram,resolution,ssd,weight
,do-hoa-ky-thuat,Intel Core i7,8565U,1TB,NVIDIA GeForce MX250,,,Laptop Asus A512FL- EJ165T,,,0,1.7 kg
,do-hoa-ky-thuat,Intel Core i5,9300H,,NVIDIA GeForce GTX 1050Ti 4GB GDDR5 + Intel UHD Graphics 620,,,Laptop MSI GF63 9RCX - 646VN,,,1,2.3 kg
,do-hoa-ky-thuat,Intel Core i7,8550U,,NVIDIA GeForce MX130,,,LAPTOP ACER ASPIRE E5-576G-88EP,,,0,2.23 kg
,do-hoa-ky-thuat,Core i5,8265U,1TB,Intel UHD Graphics 620,,,Laptop Asus X509FA-EJ201T,,,0,1.9 kg
,do-hoa-ky-thuat,AMD Ryzen™ 5,3500U,256 GB,Vega 8,,,LAPTOP HP ENVY X360 (6ZF30PA),,,1,1.3 kg
,do-hoa-ky-thuat,Intel Core i7,9750H,256 GB,NVIDIA GeForce GTX 1650,,,LAPTOP MSI GF63 9SC-070VN,,,1,1.9 kg
,do-hoa-ky-thuat,Intel Core i3,10110U,1 TB,Intel UHD Graphics,,,Laptop Dell Vostro 3590 V5I3505W,,,0,
,do-hoa-ky-thuat,Core i5,8265U,1 TB,NVIDIA GeForce MX230 2GB GDDR5,,,Laptop Asus X509F-EJ153T,,,0,1.8 kg
,do-hoa-ky-thuat,Intel Core i5,8265U,1TB,MX130,,,Laptop HP Pavilion 15 CS2057TX (6YZ20PA) Xám,,,0,1.85 kg
,do-hoa-ky-thuat,Core i5,1035G1,HDD 1TB + SSD 128GB PCie,NVIDIA GeForce MX230 2GB,,,Laptop Dell Inspiron 15 5000 5593 N5I5402W,,,1,
,do-hoa-ky-thuat,AMD Ryzen™ 3,3200U,256 GB,AMD Radeon™ Vega 3 Graphics,,,Laptop Acer Aspire A315-42-R8PX,,,1,
,do-hoa-ky-thuat,Intel Core i7,8265U,512 GB,NVIDIA GeForce MX230,,,Laptop Asus X409FJ-EK137T,,,1,1.6 kg
,do-hoa-ky-thuat,Intel Core i5,10210U,256 GB PCie,Intel UHD Graphics 620,,,Laptop Dell Vostro 5490 V4I5106W,,,1,1.49 kg
