,id,title,brand,price,link
20,23264368,Apple Macbook Pro Touch Bar 2019 - 13 inchs (i5/ 8GB/ 256GB) - Hàng Nhập Khẩu Chính Hãng,Apple,36480000,https://tiki.vn/apple-macbook-pro-touch-bar-2019-13-inchs-i5-8gb-256gb-hang-nhap-khau-chinh-hang-p23264368.html?src=category-page-1846.8095&2hi=1
21,11501789,Laptop Lenovo V330-15IKB 81AX00MBVN Core i3-8130U/ Dos (15.6 HD) - Hàng Chính Hãng,Lenovo,8599000,https://tiki.vn/laptop-lenovo-v330-15ikb-81ax00mbvn-core-i3-8130u-dos-15-6-hd-hang-chinh-hang-p11501789.html?src=category-page-1846.8095&2hi=0
22,20955084,Laptop Asus Vivobook A512DA-EJ406T AMD R5-3500U/Win10 (15.6 FHD) - Hàng Chính Hãng,Asus,13849000,https://tiki.vn/laptop-asus-vivobook-a512da-ej406t-amd-r5-3500u-win10-15-6-fhd-hang-chinh-hang-p20955084.html?src=category-page-1846.8095&2hi=0
23,32438329,Laptop Asus Vivobook A512FA-EJ1170T Core i3-8145U/ Win10 (15.6 FHD) - Hàng Chính Hãng,Asus,12219000,https://tiki.vn/laptop-asus-vivobook-a512fa-ej1170t-core-i3-8145u-win10-15-6-fhd-hang-chinh-hang-p32438329.html?src=category-page-1846.8095&2hi=0
24,40495525,Laptop Lenovo Ideapad 320-14ISK Core i3 6006U/ Win10/ 14 inch ( 80XG0083VN ) - Black - Hàng Chính Hãng, Lenovo,6390000,https://tiki.vn/laptop-lenovo-ideapad-320-14isk-core-i3-6006u-win10-14-inch-80xg0083vn-black-hang-chinh-hang-p40495525.html?src=category-page-1846.8095&2hi=0
25,6086513,Laptop Asus Vivobook S15 S530UA-BQ034T Core i3-8130U/Win10 (15.6 inch FHD IPS) - Hàng Chính Hãng,Asus,9949000,https://tiki.vn/laptop-asus-vivobook-s15-s530ua-bq034t-core-i3-8130u-win10-15-6-inch-fhd-ips-hang-chinh-hang-p6086513.html?src=category-page-1846.8095&2hi=1
26,10672462,Laptop Asus Vivobook S14 S430UN-EB139T Core i5-8250U/Win10 (14 inch FHD IPS) - Hàng Chính Hãng,Asus,14969000,https://tiki.vn/laptop-asus-vivobook-s14-s430un-eb139t-core-i5-8250u-win10-14-inch-fhd-ips-hang-chinh-hang-p10672462.html?src=category-page-1846.8095&2hi=1
27,24351715,Laptop Asus Vivobook A412FA-EK378T Core i3-8145U/ Win10 (14 FHD) - Hàng Chính Hãng,Asus,11599000,https://tiki.vn/laptop-asus-vivobook-a412fa-ek378t-core-i3-8145u-win10-14-fhd-hang-chinh-hang-p24351715.html?src=category-page-1846.8095&2hi=0
28,1747305,Laptop Lenovo ThinkPad T480 20L5S01400 Core i5-8250U/Free Dos (14 inch) - Hàng Chính Hãng (Black),Lenovo,26739000,https://tiki.vn/laptop-lenovo-thinkpad-t480-20l5s01400-core-i5-8250u-free-dos-14-inch-hang-chinh-hang-black-p1747305.html?src=category-page-1846.8095&2hi=1
29,4374913,Laptop Asus Vivobook A411UA-BV611T Core i3-8130U/Win10 (14 inch) (Gold) - Hàng Chính Hãng,Asus,10259000,https://tiki.vn/laptop-asus-vivobook-a411ua-bv611t-core-i3-8130u-win10-14-inch-gold-hang-chinh-hang-p4374913.html?src=category-page-1846.8095&2hi=1
30,4332521,Laptop Dell Vostro 3568 VTI321072 Core i3-7020U/Free Dos (15.6 inch) (Black) - Hàng Chính Hãng,Dell,9590000,https://tiki.vn/laptop-dell-vostro-3568-vti321072-core-i3-7020u-free-dos-15-6-inch-black-hang-chinh-hang-p4332521.html?src=category-page-1846.8095&2hi=0
31,2884733,Laptop LG Gram 2018 14Z980-G AH52A5 Core i5-8250U / Win10 (14 inches) – Silver – Hàng Chính Hãng,LG,28990000,https://tiki.vn/laptop-lg-gram-2018-14z980-g-ah52a5-core-i5-8250u-win10-14-inches-silver-hang-chinh-hang-p2884733.html?src=category-page-1846.8095&2hi=0
32,32349095,Laptop Asus Vivobook X509FJ-EJ155T Core i5-8265U/ MX230 2GB/ Win10 (15.6 FHD) - Hàng Chính Hãng,Asus,14919000,https://tiki.vn/laptop-asus-vivobook-x509fj-ej155t-core-i5-8265u-mx230-2gb-win10-15-6-fhd-hang-chinh-hang-p32349095.html?src=category-page-1846.8095&2hi=0
33,21922154,Laptop Lenovo IdeaPad L340-15IRH 81LK007JVN Core i7-9750H/ GTX 1050 3GB/ Dos (15.6 FHD IPS) - Hàng Chính Hãng,Lenovo,18819000,https://tiki.vn/laptop-lenovo-ideapad-l340-15irh-81lk007jvn-core-i7-9750h-gtx-1050-3gb-dos-15-6-fhd-ips-hang-chinh-hang-p21922154.html?src=category-page-1846.8095&2hi=1
34,26421283,Laptop MSI GF63 Thin 9RCX-645VN Core i7-9750H/ GTX 1050Ti 4GB/ Win10 (15.6 FHD IPS) - Hàng Chính Hãng,MSI,22039000,https://tiki.vn/laptop-msi-gf63-thin-9rcx-645vn-core-i7-9750h-gtx-1050ti-4gb-win10-15-6-fhd-ips-hang-chinh-hang-p26421283.html?src=category-page-1846.8095&2hi=1
35,7093043,Laptop Asus Vivobook S15 S530UA-BQ135T Core i3-8130U/Win 10 (15.6,Asus,12119000,https://tiki.vn/laptop-asus-vivobook-s15-s530ua-bq135t-core-i3-8130u-win-10-15-6-fhd-hang-chinh-hang-p7093043.html?src=category-page-1846.8095&2hi=1
36,10225512,Laptop Asus Zenbook 14 UX433FA-A6111T Core i7-8565U/ Win10/ Numpad (14,Asus,24219000,https://tiki.vn/laptop-asus-zenbook-14-ux433fa-a6111t-core-i7-8565u-win10-numpad-14-fhd-hang-chinh-hang-p10225512.html?src=category-page-1846.8095&2hi=1
37,39940256,Laptop Acer Aspire 5 A515-54-54EU NX.HN3SV.002 Core i5-10210U/ Win10 (15.6 FHD) - Hàng Chính Hãng,Acer,14759000,https://tiki.vn/laptop-acer-aspire-5-a515-54-54eu-nx-hn3sv-002-core-i5-10210u-win10-15-6-fhd-hang-chinh-hang-p39940256.html?src=category-page-1846.8095&2hi=1
38,6088421,Laptop Asus Vivobook S15 S530UA-BQ176T Core i3-8130U/Win10 (15.6 inch FHD IPS) - Hàng Chính Hãng,Asus,10999000,https://tiki.vn/laptop-asus-vivobook-s15-s530ua-bq176t-core-i3-8130u-win10-15-6-inch-fhd-ips-hang-chinh-hang-p6088421.html?src=category-page-1846.8095&2hi=1
39,4274393,Laptop Asus Vivobook S15 S530UN-BQ255T Core i5-8250U/Win10 (15.6 inch) (Gold) - Hàng Chính Hãng,Asus,16409000,https://tiki.vn/laptop-asus-vivobook-s15-s530un-bq255t-core-i5-8250u-win10-15-6-inch-gold-hang-chinh-hang-p4274393.html?src=category-page-1846.8095&2hi=0
40,3529775,MacBook Pro Touch Bar 2018 MR9U2 Core i5/256GB (13 inch) (Silver) - Hàng Chính Hãng,Apple,55990000,https://tiki.vn/macbook-pro-touch-bar-2018-mr9u2-core-i5-256gb-13-inch-silver-hang-chinh-hang-p3529775.html?src=category-page-1846.8095&2hi=0
41,29253421,Laptop Dell G7 Inspiron 7591 KJ2G41 Core i7-9750H/ GTX 1050 3GB/ Win10 (15.6 FHD) - Hàng Chính Hãng,Dell,27869000,https://tiki.vn/laptop-dell-g7-inspiron-7591-kj2g41-core-i7-9750h-gtx-1050-3gb-win10-15-6-fhd-hang-chinh-hang-p29253421.html?src=category-page-1846.8095&2hi=1
42,2855321,Laptop Gaming MSI GL63 8RC-436VN Core i7-8750H/ Win10 (15.6 inch) - Black - Hàng Chính Hãng,MSI,23850000,https://tiki.vn/laptop-gaming-msi-gl63-8rc-436vn-core-i7-8750h-win10-15-6-inch-black-hang-chinh-hang-p2855321.html?src=category-page-1846.8095&2hi=0
43,2882223,Laptop LG Gram 2018 13ZD980-G AX52A5 Core i5-8250U / Free Dos (13.3 inch) – White – Hàng Chính Hãng,LG,24990000,https://tiki.vn/laptop-lg-gram-2018-13zd980-g-ax52a5-core-i5-8250u-free-dos-13-3-inch-white-hang-chinh-hang-p2882223.html?src=category-page-1846.8095&2hi=1
44,39057428,Laptop Asus Vivobook S531FL-BQ190T Core i5-8265U/MX250 2GB/ Win10 (15.6 inch FHD IPS) - Hàng Chính Hãng,Asus,18549000,https://tiki.vn/laptop-asus-vivobook-s531fl-bq190t-core-i5-8265u-mx250-2gb-win10-15-6-inch-fhd-ips-hang-chinh-hang-p39057428.html?src=category-page-1846.8095&2hi=0
45,4273159,Laptop Asus Vivobook S15 S530UN-BQ053T Core i7-8550U/Win10 (15.6 inch) (Gunmetal) - Hàng Chính Hãng,Asus,18049000,https://tiki.vn/laptop-asus-vivobook-s15-s530un-bq053t-core-i7-8550u-win10-15-6-inch-gunmetal-hang-chinh-hang-p4273159.html?src=category-page-1846.8095&2hi=1
46,10216162,Laptop Asus Zenbook 14 UX433FA-A6113T Core i5-8265U/ Win10/ Numpad (14,Asus,20109000,https://tiki.vn/laptop-asus-zenbook-14-ux433fa-a6113t-core-i5-8265u-win10-numpad-14-fhd-hang-chinh-hang-p10216162.html?src=category-page-1846.8095&2hi=0
47,32340626,Laptop Asus Vivobook A412DA-EK144T AMD R5-3500U/ Win10 (14 FHD) - Hàng Chính Hãng,Asus,13649000,https://tiki.vn/laptop-asus-vivobook-a412da-ek144t-amd-r5-3500u-win10-14-fhd-hang-chinh-hang-p32340626.html?src=category-page-1846.8095&2hi=1
48,19695390,Laptop HP Pavilion 14-CE2041TU (Intel Core I5-8265U/ 4GB RAM DDR4/ 1TB HDD/ 14,HP,14239000,https://tiki.vn/laptop-hp-pavilion-14-ce2041tu-6zt94pa-core-i5-8265u-win10-14-fhd-ips-hang-chinh-hang-p19695390.html?src=category-page-1846.8095&2hi=1
49,3252931,MacBook Pro Touch Bar 2018 MR9Q2 Core i5/256GB (13 inch) (Space Gray) - Hàng Chính Hãng,Apple,55990000,https://tiki.vn/macbook-pro-touch-bar-2018-mr9q2-core-i5-256gb-13-inch-space-gray-hang-chinh-hang-p3252931.html?src=category-page-1846.8095&2hi=0
50,34471728,Laptop Asus Vivobook A412DA-EK346T AMD R3-3200U/ Win10 (14 FHD) - Silver - Hàng Chính Hãng,Asus,10909000,https://tiki.vn/laptop-asus-vivobook-a412da-ek346t-amd-r3-3200u-win10-14-fhd-silver-hang-chinh-hang-p34471728.html?src=category-page-1846.8095&2hi=1
51,7393319,Laptop Dell Inspiron 5480 X6C891 Core i5-8265U/ Win10 + Office365 (14.0 inch FHD) - Hàng Chính Hãng,Dell,19179000,https://tiki.vn/laptop-dell-inspiron-5480-x6c891-core-i5-8265u-win10-office365-14-0-inch-fhd-hang-chinh-hang-p7393319.html?src=category-page-1846.8095&2hi=0
52,13986891,Laptop Dell Inspiron 15 5570 M5I5238 Core i5-8250U/ Radeon 530/ DOS (15.6,Dell,14659000,https://tiki.vn/laptop-dell-inspiron-15-5570-m5i5238-core-i5-8250u-radeon-530-dos-15-6-fhd-hang-chinh-hang-p13986891.html?src=category-page-1846.8095&2hi=0
