Name,Price,CPU,Type_CPU,RAM,Graphic,Weight,Score_star,Vote,Brand,SSD
LAPTOP ACER ASPIRE E5-576G-88EP,15990000,Intel Core i7,8550U,4 GB,NVIDIA GeForce MX130,2.23 kg,0.0,0,ACER,0
LAPTOP ASUS X509FA-EJ101T,11990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.8 kg,0.0,0,ASUS,0
Laptop Asus X509FA-EJ201T,11990000,Core i5,8265U,4 GB,Intel UHD Graphics 620,1.9 kg,0.0,0,Asus,0
LAPTOP DELL INSPIRON N5480B (P92G001),22990000,Intel Core i5,8265U,8 GB,Intel UHD Graphics 620,1.48 kg,0.0,0,DELL,1
LAPTOP HP ENVY X360 (6ZF30PA),21990000,AMD Ryzen™ 5,3500U,8 GB,Vega 8,1.3 kg,0.0,0,HP,1
LAPTOP LENOVO IDEAPAD 330-15IKB (81DE01JSVN),11990000,Intel Core i5,8250U,4 GB,AMD Radeon R7 M530 2GB,1.95 kg,0.0,0,LENOVO,0
LAPTOP MSI GF63 9SC-070VN,24990000,Intel Core i7,9750H,8 GB,NVIDIA GeForce GTX 1650,1.9 kg,0.0,0,MSI,1
Laptop Dell Vostro 3590 V5I3505W,12790000,Intel Core i3,10110U,4 GB GB,Intel UHD Graphics,,0.0,0,Dell,0
Laptop Asus X509F-EJ153T,13990000,Core i5,8265U,4 GB,NVIDIA GeForce MX230 2GB GDDR5,1.8 kg,0.0,0,Asus,0
Laptop HP Pavilion 15 CS2033TU 6YZ14PA Xám,14990000,Intel Core i5,8265U,4 GB,Intel HD Graphics 620,1.85 kg,0.0,0,HP,0
Laptop HP Pavilion 15 CS2034TU 6YZ06PA Vàng,14990000,Intel Core i5,8265U,4 GB,Intel HD Graphics 620,1.85 kg,0.0,0,HP,0
Laptop HP ProBook 430 G6 (5YN22PA),15990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.49 kg,0.0,0,HP,1
Laptop HP Pavilion 15 CS2057TX (6YZ20PA) Xám,15990000,Intel Core i5,8265U,4 GB,MX130,1.85 kg,0.0,0,HP,0
Laptop HP Pavilion X36014-DH0104TU,15990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.607 kg,0.0,0,HP,0
Laptop Dell Inspiron 15 5000 5593 N5I5402W,16990000,Core i5,1035G1,4 GB,NVIDIA GeForce MX230 2GB,,0.0,0,Dell,1
Laptop Acer Aspire A315-42-R8PX,10690000,AMD Ryzen™ 3,3200U,8 GB,AMD Radeon™ Vega 3 Graphics,,0.0,0,Acer,1
Laptop Asus X409FJ-EK137T,17990000,Intel Core i7,8265U,4 GB,NVIDIA GeForce MX230,1.6 kg,0.0,0,Asus,1
LAPTOP HP 15-DA1031TX (5NK55PA),14990000,Intel Core i5,8265U,4 GB,NVIDIA GeForce MX110,1.77 kg,0.0,0,HP,0
Laptop Dell Vostro 5490 V4I5106W,17990000,Intel Core i5,10210U,8 GB,Intel UHD Graphics 620,1.49 kg,0.0,0,Dell,1
Laptop Dell Vostro 5370 (V5370B),20490000,Core i5,8250U,8 GB,AMD Radeon 530,,0.0,0,Dell,1
LAPTOP HP PROBOOK 430 G6 (5YN00PA),16990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.4 kg,0.0,0,HP,1
Laptop Acer Aspire A315-54-52HT,12990000,Core i5,10210U,4 GB,Intel UHD Graphics 620,,0.0,0,Acer,1
Laptop Asus A512FA EJ1170T,12990000,i3,8145U,4 GB,,1.8 kg,0.0,0,Asus,1
Laptop Asus A512FA-EJ837T,12990000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.7 kg,0.0,0,Asus,1
Laptop Acer A514-52-516K (NX.HMHSV.002),13990000,Intel Core i5,10210U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,Acer,1
Laptop Acer Aspire A315-54-59ZJ,13990000,Core i5,10210U,8 GB,Intel UHD Graphics,,0.0,0,Acer,1
Laptop Asus S431FA-EB511T,18600000,Core i5,8265U,8 GB,Intel UHD Graphics 620,1.4 kg,0.0,0,Asus,1
Laptop Asus FX505DU-AL070T,25990000,AMD Ryzen™ 7,3750H,8 GB,NVIDIA GeForce® GTX 1660Ti,2.2 kg,0.0,0,Asus,1
Laptop Dell Inspiron 13 7000 2-in-1,26490000,Core i5,10210U,8 GB,Intel UHD Graphics,1.4 kg,0.0,0,Dell,1
Laptop HP Pavilion Gaming 15 DK0001TX (7HR11PA),23990000,Core i5,9300H,8 GB,NVIDIA GeForce GTX 1650 GDDR5,2.23 kg,0.0,0,HP,0
LAPTOP LENOVO IDEAPAD 330-14IKBR 81G2007BVN,10990000,Intel Core i5,8250U,4 GB,UHD Intel® 620,2.1 kg,0.0,0,LENOVO,0
Laptop HP 14 CK1004TU (5QH84PA),13990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.47 kg,0.0,0,HP,0
Laptop Macbook Air 13.3 Inch 2017 (MQD32SA/A),21490000,Intel Core i5,Dual Core,,Intel HD Graphics 6000,1.35 kg,4.9,10,Macbook,1
LAPTOP DELL INSPIRON 3480 (N4I5107W) BẠC,13390000,Intel Core i5,8265U,4 GB,Intel HD Graphics 620,1.66 kg,3.0,1,DELL,0
LAPTOP HP ENVY 13-AQ0027TU (6ZF43PA),26990000,Intel Core i7,8565U,8 GB,Intel UHD Graphics 620,1.18 kg,0.0,0,HP,1
LAPTOP HP PAVILION 15-CS2056TX,15990000,Intel Core i5,8265U,4 GB,NVIDIA GeForce MX 130,,0.0,0,HP,0
LAPTOP HP PAVILION X36014-DH0103TU,13590000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.65 kg,0.0,0,HP,0
LAPTOP HP PAVILION 14-CE2039TU,14990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,HP,0
LAPTOP HP PAVILION 14-CE2038TU,14990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,HP,0
LAPTOP HP PAVILION 14-CE2041TU,14990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,HP,0
LAPTOP DELL VOSTRO 3480,13590000,Intel Core i5,8265U,8 GB,Intel HD Graphics 620,1.9 kg,0.0,0,DELL,0
LAPTOP ASUS A412FA-EK153T BẠC,15990000,Core i5-8265U,8145U,4 GB,Intel UHD Graphics 620,1.5 kg,0.0,0,ASUS,0
Laptop HP 15S-DU0062TU (6ZF73PA),13990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics,1.74 kg,0.0,0,HP,0
Laptop HP Pavilion 15-CS2031TU (6YZ03PA),12990000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.85 kg,0.0,0,HP,0
Laptop HP Pavilion 15-CS2032TU (6YZ04PA),12990000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.85 kg,0.0,0,HP,0
Laptop HP Pavilion 15-CS2035TU (6YZ08PA),15990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.85 kg,0.0,0,HP,0
Laptop Asus Vivobook A512FA-EJ099T,10990000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.7 kg,0.0,0,Asus,0
LAPTOP HP ENVY 13-AQ0026TU (6ZF38PA),20990000,Intel Core i5,8265U,8 GB,Intel UHD Graphics 620,1.18 kg,0.0,0,HP,1
Laptop Dell Inspiron 3580 (70194511),13590000,Intel Core i5,8265U,4 GB,AMD Radeon 520,2.19 kg,4.7,10,Dell,0
Laptop Dell Vostro 5581 (70194501),13990000,Intel Core i5,8265U,4GB GB,Intel UHD Graphics 620,1.9 kg,4.6,10,Dell,0
Laptop Asus S531FA (BQ105T),19290000,Intel Core i5,8265U,8 GB,Intel UHD Graphics 620,1.8 kg,0.0,0,Asus,1
Laptop Asus S531FL (BQ190T),20790000,Intel Core i5,8265U,8 GB,NVIDIA GeForce MX250,1.8 kg,0.0,0,Asus,1
Laptop Asus A412F-EK224T,16990000,Core i5,8265U,8 GB,Intel UHD Graphics 620,1.4 kg,0.0,0,Asus,1
